id,title,type,description,listed_in,source_category,source_raw_id,text
movie_233f379a4e617700f11e2cdb216d23e7,Dick Johnson Is Dead,Movie,"As her father nears the end of his life, filmmaker Kirsten Johnson stages his death in inventive and comical ways to help them both face the inevitable.",Documentaries,netflix,s1,"Title: Dick Johnson Is Dead (Movie)
Description: As her father nears the end of his life, filmmaker Kirsten Johnson stages his death in inventive and comical ways to help them both face the inevitable.
Categories: Documentaries"
movie_bbb13c6e4dfd1ba9a90f3e3f0a151b27,My Little Pony: A New Generation,Movie,"Equestria's divided. But a bright-eyed hero believes Earth Ponies, Pegasi and Unicorns should be pals — and, hoof to heart, she’s determined to prove it.",Children & Family Movies,netflix,s7,"Title: My Little Pony: A New Generation (Movie)
Description: Equestria's divided. But a bright-eyed hero believes Earth Ponies, Pegasi and Unicorns should be pals — and, hoof to heart, she’s determined to prove it.
Categories: Children & Family Movies"
movie_8ec81d93e8a35b05f46fe06dde0ba5a9,Sankofa,Movie,"On a photo shoot in Ghana, an American model slips back in time, becomes enslaved on a plantation and bears witness to the agony of her ancestral past.","Dramas, Independent Movies, International Movies",netflix,s8,"Title: Sankofa (Movie)
Description: On a photo shoot in Ghana, an American model slips back in time, becomes enslaved on a plantation and bears witness to the agony of her ancestral past.
Categories: Dramas, Independent Movies, International Movies"
movie_862dac6740fc9df343f99bb89e6c01e5,The Starling,Movie,A woman adjusting to life after a loss contends with a feisty bird that's taken over her garden — and a husband who's struggling to find a way forward.,"Comedies, Dramas",netflix,s10,"Title: The Starling (Movie)
Description: A woman adjusting to life after a loss contends with a feisty bird that's taken over her garden — and a husband who's struggling to find a way forward.
Categories: Comedies, Dramas"
movie_a8772bf792d321d54ad0e8cfee32a2b9,Je Suis Karl,Movie,"After most of her family is murdered in a terrorist bombing, a young woman is unknowingly lured into joining the very group that killed them.","Dramas, International Movies",netflix,s13,"Title: Je Suis Karl (Movie)
Description: After most of her family is murdered in a terrorist bombing, a young woman is unknowingly lured into joining the very group that killed them.
Categories: Dramas, International Movies"
movie_52f003f225d0700f0c61be0e1f2b85a2,Confessions of an Invisible Girl,Movie,"When the clever but socially-awkward Tetê joins a new school, she'll do anything to fit in. But the queen bee among her classmates has other ideas.","Children & Family Movies, Comedies",netflix,s14,"Title: Confessions of an Invisible Girl (Movie)
Description: When the clever but socially-awkward Tetê joins a new school, she'll do anything to fit in. But the queen bee among her classmates has other ideas.
Categories: Children & Family Movies, Comedies"
movie_7ef4824879b9aa1e4ce5458ac48b0a87,Europe's Most Dangerous Man: Otto Skorzeny in Spain,Movie,"Declassified documents reveal the post-WWII life of Otto Skorzeny, a close Hitler ally who escaped to Spain and became an adviser to world presidents.","Documentaries, International Movies",netflix,s17,"Title: Europe's Most Dangerous Man: Otto Skorzeny in Spain (Movie)
Description: Declassified documents reveal the post-WWII life of Otto Skorzeny, a close Hitler ally who escaped to Spain and became an adviser to world presidents.
Categories: Documentaries, International Movies"
movie_429ab8df60c27b2aecf7d1ab7c73d80c,Intrusion,Movie,"After a deadly home invasion at a couple’s new dream house, the traumatized wife searches for answers — and learns the real danger is just beginning.",Thrillers,netflix,s19,"Title: Intrusion (Movie)
Description: After a deadly home invasion at a couple’s new dream house, the traumatized wife searches for answers — and learns the real danger is just beginning.
Categories: Thrillers"
movie_8eb2b9a2bdb9f55e632f5b9fd66adb44,Avvai Shanmughi,Movie,"Newly divorced and denied visitation rights with his daughter, a doting father disguises himself as a gray-haired nanny in order to spend time with her.","Comedies, International Movies",netflix,s23,"Title: Avvai Shanmughi (Movie)
Description: Newly divorced and denied visitation rights with his daughter, a doting father disguises himself as a gray-haired nanny in order to spend time with her.
Categories: Comedies, International Movies"
movie_d02534715506ec95d8af8157f65270ac,Go! Go! Cory Carson: Chrissy Takes the Wheel,Movie,"From arcade games to sled days and hiccup cures, Cory Carson’s curious little sister Chrissy speeds off on her own for fun and adventure all over town!",Children & Family Movies,netflix,s24,"Title: Go! Go! Cory Carson: Chrissy Takes the Wheel (Movie)
Description: From arcade games to sled days and hiccup cures, Cory Carson’s curious little sister Chrissy speeds off on her own for fun and adventure all over town!
Categories: Children & Family Movies"
